,Country_Code,Reference_Date,Population Subgroup,NO_CASES,NO_DEATHS,PREV_RATE,Country_x,Population,GDP ($ per capita),Region,cases_normalized_percentage,flag,Country,Alpha-3 code,Latitude (average),Longitude (average)
0,ABW,1995,Cumulative AIDS cases & deaths,20,16,-1.0,Aruba,71891,28000.0,LATIN AMER. & CARIB,0.0278198940062038,🇦🇼,Aruba,ABW,12.5,-69.9667
1,ABW,1996,Cumulative AIDS cases & deaths,37,17,-1.0,Aruba,71891,28000.0,LATIN AMER. & CARIB,0.0514668039114771,🇦🇼,Aruba,ABW,12.5,-69.9667
2,AIA,1989,Cumulative AIDS cases & deaths,2,1,-1.0,Anguilla,13477,8600.0,LATIN AMER. & CARIB,0.0148400979446464,🇦🇮,Anguilla,AIA,18.25,-63.1667
3,AIA,1995,Cumulative AIDS cases & deaths,5,3,-1.0,Anguilla,13477,8600.0,LATIN AMER. & CARIB,0.037100244861616,🇦🇮,Anguilla,AIA,18.25,-63.1667
4,AIA,1995,Cumulative AIDS cases & deaths,5,3,-1.0,Anguilla,13477,8600.0,LATIN AMER. & CARIB,0.037100244861616,🇦🇮,Anguilla,AIA,18.25,-63.1667
5,AIA,1987,Cumulative AIDS cases & deaths,2,0,-1.0,Anguilla,13477,8600.0,LATIN AMER. & CARIB,0.0148400979446464,🇦🇮,Anguilla,AIA,18.25,-63.1667
6,ALB,2011,Cumulative AIDS cases & deaths,199,93,-1.0,Albania,3581655,4500.0,EASTERN EUROPE,0.0055560906899184,🇦🇱,Albania,ALB,41.0,20.0
7,ARG,1987,Cumulative AIDS cases & deaths,78,33,-1.0,Argentina,39921833,11200.0,LATIN AMER. & CARIB,0.000195381810249,🇦🇷,Argentina,ARG,-34.0,-64.0
8,ARG,1999,Cumulative AIDS cases & deaths,15673,"3,883",-1.0,Argentina,39921833,11200.0,LATIN AMER. & CARIB,0.0392592193850417,🇦🇷,Argentina,ARG,-34.0,-64.0
9,ARG,1987,Cumulative AIDS cases & deaths,112,56,-1.0,Argentina,39921833,11200.0,LATIN AMER. & CARIB,0.0002805482403576,🇦🇷,Argentina,ARG,-34.0,-64.0
10,ARG,1995,Cumulative AIDS cases & deaths,7417,"2,249",-1.0,Argentina,39921833,11200.0,LATIN AMER. & CARIB,0.0185788062386814,🇦🇷,Argentina,ARG,-34.0,-64.0
