,Country_Code,Reference_Date,Population Subgroup,NO_CASES,NO_DEATHS,PREV_RATE,Country,Population,GDP ($ per capita),Region,cases_normalized_percentage,flag
0,ABW,1995,Cumulative AIDS cases & deaths,20,16,-1.0,Aruba,71891,28000.0,LATIN AMER. & CARIB,0.027819894006203837,🇦🇼
1,ABW,1996,Cumulative AIDS cases & deaths,37,17,-1.0,Aruba,71891,28000.0,LATIN AMER. & CARIB,0.0514668039114771,🇦🇼
38,AIA,1989,Cumulative AIDS cases & deaths,2,1,-1.0,Anguilla,13477,8600.0,LATIN AMER. & CARIB,0.014840097944646434,🇦🇮
50,AIA,1995,Cumulative AIDS cases & deaths,5,3,-1.0,Anguilla,13477,8600.0,LATIN AMER. & CARIB,0.03710024486161609,🇦🇮
51,AIA,1995,Cumulative AIDS cases & deaths,5,3,-1.0,Anguilla,13477,8600.0,LATIN AMER. & CARIB,0.03710024486161609,🇦🇮
52,AIA,1987,Cumulative AIDS cases & deaths,2,0,-1.0,Anguilla,13477,8600.0,LATIN AMER. & CARIB,0.014840097944646434,🇦🇮
57,ALB,2011,Cumulative AIDS cases & deaths,199,93,-1.0,Albania,3581655,4500.0,EASTERN EUROPE,0.005556090689918487,🇦🇱
91,ARG,1987,Cumulative AIDS cases & deaths,78,33,-1.0,Argentina,39921833,11200.0,LATIN AMER. & CARIB,0.00019538181024904343,🇦🇷
124,ARG,1999,Cumulative AIDS cases & deaths,15673,"3,883",-1.0,Argentina,39921833,11200.0,LATIN AMER. & CARIB,0.03925921938504176,🇦🇷
140,ARG,1987,Cumulative AIDS cases & deaths,112,56,-1.0,Argentina,39921833,11200.0,LATIN AMER. & CARIB,0.00028054824035760083,🇦🇷
154,ARG,1995,Cumulative AIDS cases & deaths,7417,"2,249",-1.0,Argentina,39921833,11200.0,LATIN AMER. & CARIB,0.018578806238681474,🇦🇷
175,ARG,1988,Cumulative AIDS cases & deaths,315,158,-1.0,Argentina,39921833,11200.0,LATIN AMER. & CARIB,0.0007890419260057523,🇦🇷
1048,ARG,1989,Cumulative AIDS cases & deaths,356,151,-1.0,Argentina,39921833,11200.0,LATIN AMER. & CARIB,0.0008917426211366597,🇦🇷
1249,AUS,2003,Cumulative AIDS cases & deaths,9260,"4,521",-1.0,Australia,20264082,29000.0,OCEANIA,0.04569661729556759,🇦🇺
1265,AUS,1995,Cumulative AIDS cases & deaths,5883,"4,199",-1.0,Australia,20264082,29000.0,OCEANIA,0.02903166301833954,🇦🇺
1536,AZE,2011,Cumulative AIDS cases & deaths,700,354,-1.0,Azerbaijan,7961619,3400.0,C.W. OF IND. STATES,0.008792181590201691,🇦🇿
1541,BDI,1993,Cumulative AIDS cases & deaths,7131,"1,636",-1.0,Burundi,8090068,600.0,SUB-SAHARAN AFRICA,0.08814511818689287,🇧🇮
1931,BGD,2006,Cumulative AIDS cases & deaths,365,123,-1.0,Bangladesh,147365352,1900.0,ASIA (EX. NEAR EAST),0.00024768372961915774,🇧🇩
1980,BLR,2007,Cumulative AIDS cases & deaths,603,362,-1.0,Belarus,10293011,6100.0,C.W. OF IND. STATES,0.005858344074440414,🇧🇾
2509,BLZ,1989,Cumulative AIDS cases & deaths,8,5,-1.0,Belize,287730,4900.0,LATIN AMER. & CARIB,0.0027803843881416606,🇧🇿
2918,BLZ,1988,Cumulative AIDS cases & deaths,11,8,-1.0,Belize,287730,4900.0,LATIN AMER. & CARIB,0.0038230285336947833,🇧🇿
2921,BLZ,1995,Cumulative AIDS cases & deaths,138,130,-1.0,Belize,287730,4900.0,LATIN AMER. & CARIB,0.047961630695443645,🇧🇿
2922,BLZ,1997,Cumulative AIDS cases & deaths,184,190,-1.0,Belize,287730,4900.0,LATIN AMER. & CARIB,0.0639488409272582,🇧🇿
2924,BLZ,1987,Cumulative AIDS cases & deaths,2,2,-1.0,Belize,287730,4900.0,LATIN AMER. & CARIB,0.0006950960970354152,🇧🇿
2942,BOL,1995,Cumulative AIDS cases & deaths,109,85,-1.0,Bolivia,8989046,2400.0,LATIN AMER. & CARIB,0.0012125869641784013,🇧🇴
2946,BOL,1998,Cumulative AIDS cases & deaths,141,107,-1.0,Bolivia,8989046,2400.0,LATIN AMER. & CARIB,0.0015685757976986656,🇧🇴
2953,BOL,1988,Cumulative AIDS cases & deaths,16,12,-1.0,Bolivia,8989046,2400.0,LATIN AMER. & CARIB,0.00017799441676013227,🇧🇴
2955,BOL,1986,Cumulative AIDS cases & deaths,1,1,-1.0,Bolivia,8989046,2400.0,LATIN AMER. & CARIB,1.1124651047508267e-05,🇧🇴
2957,BOL,1987,Cumulative AIDS cases & deaths,2,1,-1.0,Bolivia,8989046,2400.0,LATIN AMER. & CARIB,2.2249302095016533e-05,🇧🇴
4526,BRA,1988,Cumulative AIDS cases & deaths,4946,"2,564",-1.0,Brazil,188078227,7600.0,LATIN AMER. & CARIB,0.0026297568192196964,🇧🇷
4539,BRA,1987,Cumulative AIDS cases & deaths,1542,702,-1.0,Brazil,188078227,7600.0,LATIN AMER. & CARIB,0.0008198716165056149,🇧🇷
4555,BRA,1987,Cumulative AIDS cases & deaths,2013,734,-1.0,Brazil,188078227,7600.0,LATIN AMER. & CARIB,0.0010702993281619993,🇧🇷
4562,BRA,1999,Cumulative AIDS cases & deaths,170078,"66,636",-1.0,Brazil,188078227,7600.0,LATIN AMER. & CARIB,0.09042939350975486,🇧🇷
4572,BRB,1999,Cumulative AIDS cases & deaths,1043,856,-1.0,Barbados,279912,15700.0,LATIN AMER. & CARIB,0.3726171082340164,🇧🇧
4575,BRB,1995,Cumulative AIDS cases & deaths,632,530,-1.0,Barbados,279912,15700.0,LATIN AMER. & CARIB,0.22578524679184886,🇧🇧
4578,BRB,1988,Cumulative AIDS cases & deaths,70,50,-1.0,Barbados,279912,15700.0,LATIN AMER. & CARIB,0.025007859613021235,🇧🇧
4585,BRB,1987,Cumulative AIDS cases & deaths,44,27,-1.0,Barbados,279912,15700.0,LATIN AMER. & CARIB,0.01571922604247049,🇧🇧
4586,BRB,1987,Cumulative AIDS cases & deaths,39,25,-1.0,Barbados,279912,15700.0,LATIN AMER. & CARIB,0.013932950355826116,🇧🇧
4688,BRB,1989,Cumulative AIDS cases & deaths,111,81,-1.0,Barbados,279912,15700.0,LATIN AMER. & CARIB,0.0396553202435051,🇧🇧
4703,BRN,1995,Cumulative AIDS cases & deaths,6,4,-1.0,Brunei,379444,18600.0,ASIA (EX. NEAR EAST),0.0015812610029411456,🇧🇳
4738,BWA,1987,Cumulative AIDS cases & deaths,13,4,-1.0,Botswana,1639833,9000.0,SUB-SAHARAN AFRICA,0.0007927636533720202,🇧🇼
4761,CHL,1995,Cumulative AIDS cases & deaths,1363,836,-1.0,Chile,16134219,9900.0,LATIN AMER. & CARIB,0.008447883346569176,🇨🇱
4765,CHL,1987,Cumulative AIDS cases & deaths,28,17,-1.0,Chile,16134219,9900.0,LATIN AMER. & CARIB,0.00017354419200582316,🇨🇱
4772,CHL,1988,Cumulative AIDS cases & deaths,123,48,-1.0,Chile,16134219,9900.0,LATIN AMER. & CARIB,0.0007623548434541517,🇨🇱
4775,CHL,1999,Cumulative AIDS cases & deaths,3127,"1,631",-1.0,Chile,16134219,9900.0,LATIN AMER. & CARIB,0.019381167442936033,🇨🇱
4790,CHL,1987,Cumulative AIDS cases & deaths,57,27,-1.0,Chile,16134219,9900.0,LATIN AMER. & CARIB,0.0003532863908689971,🇨🇱
4791,CHL,1987,Cumulative AIDS cases & deaths,42,22,-1.0,Chile,16134219,9900.0,LATIN AMER. & CARIB,0.0002603162880087347,🇨🇱
5497,CHN,2012,Cumulative AIDS cases & deaths,184276,"56,336",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.014024329267536877,🇨🇳
5582,CHN,2016,Cumulative AIDS cases & deaths,54360,"14,091",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.00413706906479034,🇨🇳
5718,CHN,2015,Cumulative AIDS cases & deaths,50330,"12,755",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0038303658210246095,🇨🇳
5729,CHN,2014,Cumulative AIDS cases & deaths,45145,"12,030",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0034357612753855757,🇨🇳
5755,CHN,2012,Cumulative AIDS cases & deaths,202163,"61,741",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.015385619818712462,🇨🇳
5758,CHN,2012,Cumulative AIDS cases & deaths,41604,"11,439",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.003166273387997375,🇨🇳
5780,CHN,2013,Cumulative AIDS cases & deaths,63498,"10,974",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.00483251676740355,🇨🇳
5832,CHN,2012,Cumulative AIDS cases & deaths,187079,"57,319",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.014237651647754082,🇨🇳
5839,CHN,2012,Cumulative AIDS cases & deaths,200161,"61,016",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.015233257562132067,🇨🇳
5846,CHN,2012,Cumulative AIDS cases & deaths,190712,"58,457",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.01451414119728284,🇨🇳
5982,CHN,2010,Cumulative AIDS cases & deaths,138288,"72,616",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.010524411457537278,🇨🇳
5983,CHN,2010,Cumulative AIDS cases & deaths,5661,"2,679",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0004308305367140933,🇨🇳
5984,CHN,2010,Cumulative AIDS cases & deaths,7147,"4,244",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0005439226012887519,🇨🇳
5985,CHN,2010,Cumulative AIDS cases & deaths,4023,"2,252",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.00030617050860286125,🇨🇳
5986,CHN,2010,Cumulative AIDS cases & deaths,1925,"1,242",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.00014650216978884112,🇨🇳
6343,CHN,2010,Cumulative AIDS cases & deaths,4599,993,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.00035000700200461316,🇨🇳
6377,CHN,2012,Cumulative AIDS cases & deaths,197096,"60,093",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.014999995665818925,🇨🇳
6389,CHN,2012,Cumulative AIDS cases & deaths,193986,"59,285",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.01476330904345877,🇨🇳
6418,CHN,1998,Cumulative AIDS cases & deaths,42,23,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),3.1964109772110793e-06,🇨🇳
6491,CHN,2016,Cumulative AIDS cases & deaths,37179,"15,422",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.002829508660041207,🇨🇳
6906,CHN,2012,Cumulative AIDS cases & deaths,181491,"55,530",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.013812376777738476,🇨🇳
6909,CHN,2012,Cumulative AIDS cases & deaths,178002,"54,582",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.013546846351560156,🇨🇳
6962,CHN,2009,Cumulative AIDS cases & deaths,1572,888,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.00011963709657561466,🇨🇳
7084,CHN,2001,Cumulative AIDS cases & deaths,2,2,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),1.522100465338609e-07,🇨🇳
7118,CHN,2012,Cumulative AIDS cases & deaths,205420,"62,785",-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.015633493879492855,🇨🇳
7143,CHN,2011,Cumulative AIDS cases & deaths,461,138,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),3.508441572605494e-05,🇨🇳
7156,CHN,2011,Cumulative AIDS cases & deaths,17,4,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),1.2937853955378177e-06,🇨🇳
7188,CHN,2011,Cumulative AIDS cases & deaths,48,15,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),3.6530411168126617e-06,🇨🇳
7234,CHN,2011,Cumulative AIDS cases & deaths,230,42,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),1.7504155351394005e-05,🇨🇳
7372,CHN,2011,Cumulative AIDS cases & deaths,5,2,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),3.805251163346523e-07,🇨🇳
7647,CHN,2003,Cumulative AIDS cases & deaths,7,5,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),5.327351628685132e-07,🇨🇳
7740,CHN,2011,Cumulative AIDS cases & deaths,72,28,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),5.479561675218993e-06,🇨🇳
7795,CHN,2011,Cumulative AIDS cases & deaths,44,10,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),3.34862102374494e-06,🇨🇳
7844,CHN,2011,Cumulative AIDS cases & deaths,41,20,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),3.120305953944149e-06,🇨🇳
7974,CHN,2000,Cumulative AIDS cases & deaths,0,0,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0,🇨🇳
7978,CHN,2002,Cumulative AIDS cases & deaths,7,4,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),5.327351628685132e-07,🇨🇳
8027,CHN,2011,Cumulative AIDS cases & deaths,918,259,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),6.986441135904216e-05,🇨🇳
8226,CHN,2011,Cumulative AIDS cases & deaths,0,0,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),0.0,🇨🇳
8262,CHN,1995,Cumulative AIDS cases & deaths,77,49,-1.0,China,1313973713,5000.0,ASIA (EX. NEAR EAST),5.8600867915536445e-06,🇨🇳
