,name,value,ranking,region,country_code,Country,Alpha-3 code,Latitude,Longitude
0,Eswatini,26.8,1,Africa,SWZ,Swaziland,SWZ,-26.5,31.5
1,Lesotho,21.1,2,Africa,LSO,Lesotho,LSO,-29.5,28.5
2,Botswana,19.9,3,Africa,BWA,Botswana,BWA,-22.0,24.0
3,South Africa,19.1,4,Africa,ZAF,South Africa,ZAF,-29.0,24.0
4,Zimbabwe,11.9,5,Africa,ZWE,Zimbabwe,ZWE,-20.0,30.0
5,Namibia,11.6,6,Africa,NAM,Namibia,NAM,-22.0,17.0
6,Mozambique,11.5,7,Africa,MOZ,Mozambique,MOZ,-18.25,35.0
7,Zambia,11.1,8,Africa,ZMB,Zambia,ZMB,-15.0,30.0
8,Malawi,8.1,9,Africa,MWI,Malawi,MWI,-13.5,34.0
9,Equatorial Guinea,7.3,10,Africa,GNQ,Equatorial Guinea,GNQ,2.0,10.0
10,Uganda,5.4,11,Africa,UGA,Uganda,UGA,1.0,32.0
11,Tanzania,4.7,12,Africa,TZA,"Tanzania, United Republic of",TZA,-6.0,35.0
12,Kenya,4.2,13,Africa,KEN,Kenya,KEN,1.0,38.0
13,"Congo, Republic of the",3.3,14,Africa,COG,Congo,COG,-1.0,15.0
14,Cameroon,3.0,15,Africa,CMR,Cameroon,CMR,6.0,12.0
15,Gabon,3.0,16,Africa,GAB,Gabon,GAB,-1.0,11.75
16,Guinea-Bissau,3.0,17,Africa,GNB,Guinea-Bissau,GNB,12.0,-15.0
17,Central African Republic,2.9,18,Africa,CAF,Central African Republic,CAF,7.0,21.0
18,Rwanda,2.5,19,Africa,RWA,Rwanda,RWA,-2.0,30.0
19,South Sudan,2.3,20,Africa,SSD,South Sudan,SSD,8.0,30.0
20,Cote d'Ivoire,2.1,21,Africa,CIV,Côte d'Ivoire,CIV,8.0,-5.0
21,Togo,2.0,22,Africa,TGO,Togo,TGO,8.0,1.1667
22,Haiti,1.9,23,Central America,HTI,Haiti,HTI,19.0,-72.4167
23,Angola,1.8,24,Africa,AGO,Angola,AGO,-12.5,18.5
24,Ghana,1.7,26,Africa,GHA,Ghana,GHA,8.0,-2.0
25,Mauritius,1.7,27,Africa,MUS,Mauritius,MUS,-20.2833,57.55
26,Saint Vincent and the Grenadines,1.5,28,Central America,VCT,Saint Vincent and the Grenadines,VCT,13.25,-61.2
27,Sierra Leone,1.5,29,Africa,SLE,Sierra Leone,SLE,8.5,-11.5
28,Guinea,1.4,30,Africa,GIN,Guinea,GIN,11.0,-10.0
29,Jamaica,1.4,31,Central America,JAM,Jamaica,JAM,18.25,-77.5
30,Guyana,1.3,32,South America,GUY,Guyana,GUY,5.0,-59.0
31,Nigeria,1.3,33,Africa,NGA,Nigeria,NGA,10.0,8.0
32,"Bahamas, The",1.2,34,Central America,BHS,Bahamas,BHS,24.25,-76.0
33,Belize,1.2,35,Central America,BLZ,Belize,BLZ,17.25,-88.75
34,Russia,1.2,36,Central Asia,RUS,Russian Federation,RUS,60.0,100.0
35,Antigua and Barbuda,1.1,37,Central America,ATG,Antigua and Barbuda,ATG,17.05,-61.8
36,Barbados,1.1,38,Central America,BRB,Barbados,BRB,13.1667,-59.5333
37,Chad,1.1,39,Africa,TCD,Chad,TCD,15.0,19.0
38,Liberia,1.1,40,Africa,LBR,Liberia,LBR,6.5,-9.5
39,Suriname,1.1,41,South America,SUR,Suriname,SUR,4.0,-56.0
40,Burundi,1.0,42,Africa,BDI,Burundi,BDI,-3.5,30.0
41,Panama,1.0,43,Central America,PAN,Panama,PAN,9.0,-80.0
42,Thailand,1.0,44,East Asia/Southeast Asia,THA,Thailand,THA,15.0,100.0
43,Ukraine,1.0,45,Europe,UKR,Ukraine,UKR,49.0,32.0
44,Benin,0.9,46,Africa,BEN,Benin,BEN,9.5,2.25
45,Dominican Republic,0.9,47,Central America,DOM,Dominican Republic,DOM,19.0,-70.6667
46,Ethiopia,0.9,48,Africa,ETH,Ethiopia,ETH,8.0,38.0
47,Mali,0.9,49,Africa,MLI,Mali,MLI,17.0,-4.0
48,Papua New Guinea,0.9,50,East Asia/Southeast Asia,PNG,Papua New Guinea,PNG,-6.0,147.0
49,Djibouti,0.8,51,Africa,DJI,Djibouti,DJI,11.5,43.0
50,Estonia,0.8,52,Europe,EST,Estonia,EST,59.0,26.0
51,Moldova,0.8,53,Europe,MDA,"Moldova, Republic of",MDA,47.0,29.0
52,Burkina Faso,0.7,54,Africa,BFA,Burkina Faso,BFA,13.0,-2.0
53,"Congo, Democratic Republic of the",0.7,55,Africa,COD,"Congo, the Democratic Republic of the",COD,0.0,25.0
54,Trinidad and Tobago,0.7,56,Central America,TTO,Trinidad and Tobago,TTO,11.0,-61.0
55,Brazil,0.6,57,South America,BRA,Brazil,BRA,-10.0,-55.0
56,Burma,0.6,58,East Asia/Southeast Asia,MMR,Myanmar,MMR,22.0,98.0
57,Chile,0.6,59,South America,CHL,Chile,CHL,-30.0,-71.0
58,Dominica,0.6,60,Central America,DMA,Dominica,DMA,15.4167,-61.3333
59,Saint Lucia,0.6,61,Central America,LCA,Saint Lucia,LCA,13.8833,-61.1333
60,Belarus,0.5,62,Europe,BLR,Belarus,BLR,53.0,28.0
61,Cabo Verde,0.5,63,Africa,CPV,Cape Verde,CPV,16.0,-24.0
62,Cambodia,0.5,64,East Asia/Southeast Asia,KHM,Cambodia,KHM,13.0,105.0
63,El Salvador,0.5,65,Central America,SLV,El Salvador,SLV,13.8333,-88.9167
